system_id,replica,g_protein_family,g_protein_family_label,harmonized_observations,tm_core_rmsd_A_p95,galpha_interface_rmsd_A_p95,contact_retention_p05
Gi_8XXU,2,Gi,Gi/o,1001,2.68817096533005,3.99471399470186,1.0
Gi_8XXU,3,Gi,Gi/o,1001,1.798725134500849,2.796252891825139,1.0
Gi_8XYD,1,Gi,Gi/o,1001,3.070107081702476,7.812742962923361,0.782608695652174
Gi_8XYD,2,Gi,Gi/o,1001,1.8484891756554012,4.132318623810689,0.98
Gi_8XYD,3,Gi,Gi/o,1001,2.3810863499745776,5.530260903192128,0.92
Gi_8XZI,1,Gi,Gi/o,1001,2.273407292746921,4.74214125344062,0.9117647058823528
Gi_8XZI,2,Gi,Gi/o,1001,1.565576482480807,4.215899750612192,0.9032258064516128
Gi_8XZI,3,Gi,Gi/o,1001,2.67647796167223,5.334296816106635,0.8064516129032258
Gi_8YIC,1,Gi,Gi/o,1001,3.4561542997681465,7.707617041922582,0.5869565217391305
Gi_8YIC,2,Gi,Gi/o,1001,2.940394428676385,8.2108417400709,0.7608695652173914
Gi_8YIC,3,Gi,Gi/o,1001,3.245142201966937,11.88602044329968,0.717391304347826
Gi_8YNA,1,Gi,Gi/o,1001,2.907115529022569,6.416698587962534,0.8771929824561403
Gi_8YNA,2,Gi,Gi/o,1001,3.6502134156116375,9.218505750306688,0.8771929824561403
Gi_8YNA,3,Gi,Gi/o,1001,2.594561279582813,6.041956751213805,0.875
Gi_8ZQE,1,Gi,Gi/o,1001,2.6090910641088136,4.516783846510021,0.7704918032786885
